"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 05:00","2012","07","06","05:00","10.3","","8.2","","87","","","","","","0","","32.2","","89.65","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 06:00","2012","07","06","06:00","10.7","","8.2","","85","","","","30","","4","","48.3","","89.69","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 07:00","2012","07","06","07:00","13.3","","9.3","","77","","","","11","","4","","64.4","","89.73","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 08:00","2012","07","06","08:00","14.3","","9.0","","70","","","","","","0","","64.4","","89.74","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 09:00","2012","07","06","09:00","16.6","","8.1","","57","","","","10","","6","","64.4","","89.74","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 10:00","2012","07","06","10:00","18.5","","8.4","","52","","","","18","","4","","64.4","","89.73","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 11:00","2012","07","06","11:00","20.1","","9.9","","52","","","","15","","4","","64.4","","89.71","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 12:00","2012","07","06","12:00","20.6","","11.1","","54","","","","11","","11","","64.4","","89.70","","","","","","Mainly Clear"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 13:00","2012","07","06","13:00","20.8","","11.3","","55","","","","13","","20","","64.4","","89.68","","","","","","Mostly Cloudy"
"-114.02","51.11","CALGARY INT'L A","3031093","2012-07-06 14:00","2012","07","06","14:00","13.7","","10.0","","78","","","","32","","41","","8.0","","89.79","","","","","","Thunderstorms,Heavy Rain Showers"
